code,name,ticker
8345,(株)岩手銀行,8345.T
4956,コニシ(株),4956.T
1976,明星工業(株),1976.T
4552,ＪＣＲファーマ(株),4552.T
4974,タカラバイオ(株),4974.T
8237,(株)松屋,8237.T
3445,(株)ＲＳ　Ｔｅｃｈｎｏｌｏｇｉｅｓ,3445.T
2004,昭和産業(株),2004.T
7944,ローランド(株),7944.T
1975,(株)朝日工業社,1975.T
2588,(株)プレミアムウォーターホールディングス,2588.T
7241,フタバ産業(株),7241.T
3476,投資法人みらい,3476.T
5122,オカモト(株),5122.T
7839,(株)ＳＨＯＥＩ,7839.T
5943,(株)ノーリツ,5943.T
5310,東洋炭素(株),5310.T
9997,(株)ベルーナ,9997.T
8059,第一実業(株),8059.T
6340,澁谷工業(株),6340.T
2585,(株)ライフドリンクカンパニー,2585.T
4828,ビジネスエンジニアリング(株),4828.T
8125,(株)ワキタ,8125.T
6737,ＥＩＺＯ(株),6737.T
9824,泉州電業(株),9824.T
5253,カバー(株),5253.T
6209,リケンＮＰＲ(株),6209.T
8032,日本紙パルプ商事(株),8032.T
5351,品川リフラ(株),5351.T
8037,カメイ(株),8037.T
3459,サムティ・レジデンシャル投資法人,3459.T
9663,(株)ナガワ,9663.T
8392,(株)大分銀行,8392.T
6345,(株)アイチコーポレーション,6345.T
3465,ケイアイスター不動産(株),3465.T
2742,(株)ハローズ,2742.T
3964,(株)オークネット,3964.T
6929,日本セラミック(株),6929.T
4216,旭有機材(株),4216.T
6036,ＫｅｅＰｅｒ技研(株),6036.T
2653,イオン九州(株),2653.T
8877,エスリード(株),8877.T
2157,(株)コシダカホールディングス,2157.T
3001,片倉工業(株),3001.T
6914,オプテックスグループ(株),6914.T
2109,ＤＭ三井製糖(株),2109.T
8016,(株)オンワードホールディングス,8016.T
2760,東京エレクトロン　デバイス(株),2760.T
3993,(株)ＰＫＳＨＡ　Ｔｅｃｈｎｏｌｏｇｙ,3993.T
1663,Ｋ＆Ｏエナジーグループ(株),1663.T
7412,(株)アトム,7412.T
4971,メック(株),4971.T
6458,新晃工業(株),6458.T
8014,蝶理(株),8014.T
4071,(株)プラスアルファ・コンサルティング,4071.T
3762,テクマトリックス(株),3762.T
2492,(株)インフォマート,2492.T
1870,矢作建設工業(株),1870.T
1419,タマホーム(株),1419.T
6474,(株)不二越,6474.T
3487,CREロジスティクスファンド投資法人,3487.T
5602,(株)栗本鐵工所,5602.T
6254,野村マイクロ・サイエンス(株),6254.T
6183,(株)ベルシステム２４ホールディングス,6183.T
6947,(株)図研,6947.T
6104,芝浦機械(株),6104.T
8255,アクシアル　リテイリング(株),8255.T
8393,(株)宮崎銀行,8393.T
4559,ゼリア新薬工業(株),4559.T
8057,(株)内田洋行,8057.T
9603,(株)エイチ・アイ・エス,9603.T
8337,(株)千葉興業銀行,8337.T
5440,共英製鋼(株),5440.T
7718,スター精密(株),7718.T
2805,ヱスビー食品(株),2805.T
6016,(株)ジャパンエンジンコーポレーション,6016.T
7177,ＧＭＯフィナンシャルホールディングス(株),7177.T
6351,(株)鶴見製作所,6351.T
6080,Ｍ＆Ａキャピタルパートナーズ(株),6080.T
7350,(株)おきなわフィナンシャルグループ,7350.T
3101,東洋紡(株),3101.T
6727,(株)ワコム,6727.T
8892,(株)エスコン,8892.T
6777,ｓａｎｔｅｃ　Ｈｏｌｄｉｎｇｓ(株),6777.T
6376,日機装(株),6376.T
8117,中央自動車工業(株),8117.T
6957,(株)芝浦電子,6957.T
6834,(株)精工技研,6834.T
7943,ニチハ(株),7943.T
7322,(株)三十三フィナンシャルグループ,7322.T
4180,Ａｐｐｉｅｒ　Ｇｒｏｕｐ(株),4180.T
6996,ニチコン(株),6996.T
5161,西川ゴム工業(株),5161.T
4028,石原産業(株),4028.T
2733,(株)あらた,2733.T
1982,日比谷総合設備(株),1982.T
6490,(株)ＰＩＬＬＡＲ,6490.T
9010,富士急行(株),9010.T
